player, rating, price
Pelé,98,15M
Ronaldo,96,6.55M
Diego Maradona,95,2.5M
Paolo Maldini,94,1.85M
Lev Yashin,94,1.15M
Cristiano Ronaldo,94,1.78M
Johan Cruyff,94,4.07M
Lothar Matthäus,93,1.66M
Ruud Gullit,93,3.5M
Thierry Henry,93,2.2M
Eusébio,93,3M
Luís Figo,92,1.84M
Gary Lineker,92,936K
Emilio Butragueño,92,1.19M
Ruud van Nistelrooy,92,1.2M
Diego Maradona,97,3.24M
Pelé,95,2.8M
Lionel Messi,95,0
Ronaldo,94,4.5M
Ronaldinho,94,2.42M
Lionel Messi,94,848K
Marco van Basten,93,1.07M
George Best,93,2.8M
Franco Baresi,93,850K
Roberto Baggio,93,1.22M
Carles Puyol,92,660K
Alessandro Del Piero ,92,1.05M
Bobby Moore,92,550K
Fabio Cannavaro,92,899K
Paolo Maldini,92,1.1M
Ryan Giggs,92,857K
Dennis Bergkamp,92,915K
Peter Schmeichel,92,0
Kevin De Bruyne,92,0
Sergio Ramos,92,0
Neymar Jr,92,539K
Rivaldo,92,1.2M
Michael Laudrup,91,575K
Laurent Blanc,91,799K
Fernando Hierro,91,720K
Lothar Matthäus,91,1.28M
Michael Owen,91,710K
Marcel Desailly,91,1.2M
Patrick Kluivert,91,950K
Patrick Vieira,91,3.2M
Javier Zanetti ,92,725K
Alessandro Nesta,92,625K
Hristo Stoichkov,92,1.71M
Luis Suárez,92,0
Luka Modric,92,0
Eden Hazard,92,700K
Raúl,92,1.75M
Paul Scholes,91,780K
Gheorghe Hagi,91,669K
Robert Pirès,91,640K
Ronaldinho,91,2.35M
Alan Shearer,91,850K
Andriy Shevchenko,91,989K
Edwin van der Sar,91,550K
Steven Gerrard,91,1.54M
