player, rating, price
Eden Hazard,99,2.69m
Luis Suárez,99,3.16m
Cristiano Ronaldo,99,5.1m
Cristiano Ronaldo,99,3.77m
Antoine Griezmann,98,1.6m
Edinson Cavani,98,391k
Eden Hazard,98,1.83m
Neymar,98,2.4m
Luis Suárez,98,1.68m
Cristiano Ronaldo,98,2.61m
Pelé,98,3.15m
Lionel Messi,98,2.3m
Mohamed Salah,98,418k
Mohamed Salah,98,0
Lionel Messi,98,2.1m
Pelé,98,3.2m
Lionel Messi,97,1.5m
Kylian Mbappé,97,823k
Alexis Sánchez,97,750k
Edinson Cavani,97,359k
Isco,97,237k
Lionel Messi,97,1.78m
Eden Hazard,97,1.54m
Neymar,97,1.5m
Gonzalo Higuaín,97,172k
Paulo Dybala,97,875k
Diego Maradona,97,0
Robert Lewandowski,97,484k
Neymar,97,0
Luis Suárez,97,868k
Sergio Agüero,97,899k
Cristiano Ronaldo,97,2.19m
Isco,97,505k
Sergio Ramos,97,1.5m
Diego Maradona,97,2.3m
Luis Suárez,96,675k
Iniesta,96,0
Romelu Lukaku,96,470k
Diego Godín,96,154k
Isco,96,229k
Zlatan Ibrahimović,96,299k
Edinson Cavani,96,200k
Dries Mertens,96,460k
Ciro Immobile,96,93.5k
Cristiano Ronaldo,96,0
Marco Reus,96,500k
Eden Hazard,96,0
Toni Kroos,96,188k
Antoine Griezmann,96,711k
Kevin De Bruyne,96,585k
Lionel Messi,96,880k
Cristiano Ronaldo,96,1.5m
Leonardo Bonucci,96,429k
Luka Modrić,96,750k
Kevin De Bruyne,96,688k
Harry Kane,96,410k
Ronaldo,96,5m
Gareth Bale,95,1.3m
Vincent Kompany,95,0
Sergej Milinković-Savić,95,0
N'Golo Kanté,95,0
Daniele De Rossi,95,0
N'Golo Kanté,95,779k
Nabil Fekir,95,100k
Florian Thauvin,95,60.5k
Harry Kane,95,240k
Kevin De Bruyne,95,520k
Kylian Mbappé,95,705k
Carlos Tévez,95,63k
Thiago Silva,95,349k
James Rodríguez,95,147k
Romelu Lukaku,95,388k
Isco,95,205k
Sergej Milinković-Savić,95,205k
Lorenzo Insigne,95,92k
Mauro Icardi,95,107k
Luka Modrić,95,388k
Timo Werner,95,132k
Thomas Müller,95,165k
Mats Hummels,95,207k
Joshua Kimmich,95,78k
Antoine Griezmann,95,0
Lionel Messi,95,0
Sergio Ramos,95,610k
Christian Eriksen,95,253k
David Silva,95,189k
Harry Kane,95,210k
Eden Hazard,95,485k
Cristiano Ronaldo,95,1.07m
Luis Suárez,95,500k
Neymar,95,699k
N'Golo Kanté,95,990k
Lionel Messi,95,780k
Cristiano Ronaldo,95,1.23m
Neymar,95,749k
Pelé,95,2.19m
Diego Maradona,95,1.19m
Mohamed Salah,94,389k
Sergio Agüero,94,557k
Marcelo,94,0
Michael Carrick,94,0
Cristiano Ronaldo,94,870k
Paul Pogba,94,1.5m
Olivier Giroud,94,49k
Andreas Granqvist,94,49.75k
Luka Modrić,94,290k
Ivan Rakitić,94,217k
Kylian Mbappé,94,630k
N'Golo Kanté,94,700k
Heung Min Son,94,479k
Robin van Persie,94,38k
Fernando Torres,94,129k
Franck Ribéry,94,172k
Arjen Robben,94,700k
John Terry,94,48k
Harry Kane,94,229k
Gareth Bale,94,850k
Jonas,94,0
Alex Telles,94,160k
Quincy Promes,94,70k
Marco Verratti,94,45.75k
Thiago Silva,94,206k
Florian Thauvin,94,170k
Nabil Fekir,94,85k
Kamil Glik,94,38.25k
Kalidou Koulibaly,94,59.5k
Medhi Benatia,94,31.25k
Ronaldo,94,2.44m
Neymar,94,0
Nils Petersen,94,42k
Michy Batshuayi,94,44k
James Rodríguez,94,180k
Kylian Mbappé,94,0
Kevin De Bruyne,94,0
Casemiro,94,169k
Diego Godín,94,90k
Isco,94,145k
Parejo,94,35.25k
Romelu Lukaku,94,295k
Giorgio Chiellini,94,240k
Kevin De Bruyne,94,0
Olivier Giroud,94,65.5k
Sergio Agüero,94,0
Eden Hazard,94,500k
Marcelo,94,1.18m
Luis Suárez,94,295k
Neymar,94,500k
Lionel Messi,94,800k
Lionel Messi,94,650k
Paolo Maldini,94,1.5m
Ronaldinho,94,2.2m
Ronaldo,94,1.8m
Cristiano Ronaldo,94,455k
Christian Eriksen,93,230k
David Silva,93,99k
Leon Goretzka,93,0
Raphaël Varane,93,250k
Presnel Kimpembe,93,37.25k
Coutinho,93,228k
Yaya Touré,93,220k
David Luiz,93,490k
Ivan Rakitić,93,280k
Luka Modrić,93,350k
David Villa,93,79.5k
Claudio Marchisio,93,158k
Matthijs de Ligt,93,0
Marlos,93,64.5k
Anderson Talisca,93,145k
Ruud Vormer,93,80k
Falcao,93,42k
Kylian Mbappé,93,393k
Memphis Depay,93,68k
Luiz Gustavo,93,37.75k
Douglas Costa,93,159k
Radja Nainggolan,93,445k
Miralem Pjanić,93,99k
Thierry Henry,93,0
Lothar Matthäus,93,1.35m
Mark Uth,93,40k
Naby Keïta,93,38k
